wavelength (AA) lower bin boundary,  wavelength (AA) upper bin boundary,  Efficiency, rel. err.
3.19382781E+00, 3.21506147E+00, 7.93456714E-01, 2.50065511E-02
3.21506147E+00, 3.23629540E+00, 7.97697821E-01, 2.49514610E-02
3.23629540E+00, 3.25753093E+00, 7.98012332E-01, 2.48004354E-02
3.25753093E+00, 3.27876554E+00, 7.99384376E-01, 2.46177569E-02
3.27876554E+00, 3.29999909E+00, 7.98662454E-01, 2.43276808E-02
3.29999909E+00, 3.32123402E+00, 8.00888536E-01, 2.44693944E-02
3.32123402E+00, 3.34246875E+00, 8.03714895E-01, 2.42808593E-02
3.34246875E+00, 3.36370424E+00, 8.05024905E-01, 2.41054422E-02
3.36370424E+00, 3.38493714E+00, 8.07712848E-01, 2.39487726E-02
3.38493714E+00, 3.40617382E+00, 8.06866032E-01, 2.37980459E-02
3.40617382E+00, 3.42740671E+00, 8.11452006E-01, 2.37733854E-02
3.42740671E+00, 3.44864303E+00, 8.13656408E-01, 2.36073201E-02
3.44864303E+00, 3.46987552E+00, 8.14079589E-01, 2.33857846E-02
3.46987552E+00, 3.49111230E+00, 8.14442044E-01, 2.34185771E-02
3.49111230E+00, 3.51234652E+00, 8.19026413E-01, 2.33045986E-02
3.51234652E+00, 3.53357918E+00, 8.19407725E-01, 2.31062850E-02
3.53357918E+00, 3.55481443E+00, 8.20669221E-01, 2.31286854E-02
3.55481443E+00, 3.57604859E+00, 8.23636187E-01, 2.29989828E-02
3.57604859E+00, 3.59728370E+00, 8.23460434E-01, 2.28637647E-02
3.59728370E+00, 3.61851933E+00, 8.25196426E-01, 2.27836992E-02
3.61851933E+00, 3.63975233E+00, 8.26253939E-01, 2.25962924E-02
3.63975233E+00, 3.66098861E+00, 8.27620150E-01, 2.23404831E-02
3.66098861E+00, 3.68222254E+00, 8.30719526E-01, 2.22682735E-02
3.68222254E+00, 3.70345766E+00, 8.30726088E-01, 2.21486503E-02
3.70345766E+00, 3.72469171E+00, 8.30163245E-01, 2.19908821E-02
3.72469171E+00, 3.74592572E+00, 8.32834234E-01, 2.20603115E-02
3.74592572E+00, 3.76716105E+00, 8.32590071E-01, 2.18290659E-02
3.76716105E+00, 3.78839606E+00, 8.35362591E-01, 2.17746224E-02
3.78839606E+00, 3.80962924E+00, 8.37342930E-01, 2.16803656E-02
3.80962924E+00, 3.83086263E+00, 8.37763168E-01, 2.16032833E-02
3.83086263E+00, 3.85209865E+00, 8.39973494E-01, 2.14605877E-02
3.85209865E+00, 3.87333302E+00, 8.40579415E-01, 2.14429841E-02
3.87333302E+00, 3.89456857E+00, 8.44620376E-01, 2.14177619E-02
3.89456857E+00, 3.91580125E+00, 8.42880557E-01, 2.12593289E-02
3.91580125E+00, 3.93703809E+00, 8.45616333E-01, 2.10651154E-02
3.93703809E+00, 3.95827168E+00, 8.45843937E-01, 2.09109714E-02
3.95827168E+00, 3.97950584E+00, 8.48390058E-01, 2.09144842E-02
3.97950584E+00, 4.00074098E+00, 8.45194106E-01, 2.07306187E-02
4.00074098E+00, 4.02197372E+00, 8.50429840E-01, 2.07233295E-02
4.02197372E+00, 4.04320875E+00, 8.49509091E-01, 2.06511026E-02
4.04320875E+00, 4.06444304E+00, 8.48259701E-01, 2.04299449E-02
4.06444304E+00, 4.08567776E+00, 8.51181835E-01, 2.04727568E-02
4.08567776E+00, 4.10691429E+00, 8.54494127E-01, 2.03935733E-02
4.10691429E+00, 4.12815002E+00, 8.55993022E-01, 2.01670838E-02
4.12815002E+00, 4.14938234E+00, 8.57510892E-01, 2.02322594E-02
4.14938234E+00, 4.17061751E+00, 8.55971897E-01, 2.00573869E-02
4.17061751E+00, 4.19185340E+00, 8.58531135E-01, 1.99823946E-02
4.19185340E+00, 4.21308787E+00, 8.57486755E-01, 1.98979984E-02
4.21308787E+00, 4.23431885E+00, 8.59652246E-01, 1.97373921E-02
4.23431885E+00, 4.25555371E+00, 8.60848637E-01, 1.97353671E-02
4.25555371E+00, 4.27679091E+00, 8.62767838E-01, 1.95732365E-02
4.27679091E+00, 4.29802408E+00, 8.61285327E-01, 1.94031723E-02
4.29802408E+00, 4.31926143E+00, 8.65401226E-01, 1.94283946E-02
4.31926143E+00, 4.34049182E+00, 8.63745275E-01, 1.93776204E-02
4.34049182E+00, 4.36172895E+00, 8.64726115E-01, 1.92643586E-02
4.36172895E+00, 4.38296180E+00, 8.65110147E-01, 1.91637563E-02
4.38296180E+00, 4.40419967E+00, 8.65258410E-01, 1.90003750E-02
4.40419967E+00, 4.42543141E+00, 8.70094812E-01, 1.89634710E-02
4.42543141E+00, 4.44666686E+00, 8.72144953E-01, 1.88039365E-02
4.44666686E+00, 4.46790021E+00, 8.71292783E-01, 1.88751571E-02
4.46790021E+00, 4.48913652E+00, 8.70932932E-01, 1.87477891E-02
4.48913652E+00, 4.51037005E+00, 8.70672145E-01, 1.85141633E-02
4.51037005E+00, 4.53160629E+00, 8.74068719E-01, 1.86011989E-02
4.53160629E+00, 4.55283959E+00, 8.73812060E-01, 1.84186510E-02
4.55283959E+00, 4.57407584E+00, 8.72835230E-01, 1.82371887E-02
4.57407584E+00, 4.59530953E+00, 8.75735517E-01, 1.83798084E-02
4.59530953E+00, 4.61654100E+00, 8.78755469E-01, 1.82357798E-02
4.61654100E+00, 4.63777680E+00, 8.72832754E-01, 1.81848288E-02
4.63777680E+00, 4.65901165E+00, 8.77876187E-01, 1.79617165E-02
4.65901165E+00, 4.68024635E+00, 8.75910546E-01, 1.78854543E-02
4.68024635E+00, 4.70148185E+00, 8.80087402E-01, 1.78376588E-02
4.70148185E+00, 4.72271286E+00, 8.78502046E-01, 1.77716825E-02
4.72271286E+00, 4.74395350E+00, 8.78196183E-01, 1.76933387E-02
4.74395350E+00, 4.76518570E+00, 8.77329582E-01, 1.74170140E-02
4.76518570E+00, 4.78641733E+00, 8.79505460E-01, 1.74951662E-02
4.78641733E+00, 4.80765681E+00, 8.83769724E-01, 1.74811595E-02
4.80765681E+00, 4.82888561E+00, 8.81231154E-01, 1.72874052E-02
4.82888561E+00, 4.85012614E+00, 8.84434961E-01, 1.72873013E-02
4.85012614E+00, 4.87135974E+00, 8.83288353E-01, 1.71149341E-02
4.87135974E+00, 4.89259547E+00, 8.83646335E-01, 1.71889904E-02
4.89259547E+00, 4.91382852E+00, 8.83816384E-01, 1.70627327E-02
4.91382852E+00, 4.93506125E+00, 8.87309499E-01, 1.69283881E-02
4.93506125E+00, 4.95629626E+00, 8.83896983E-01, 1.69559032E-02
4.95629626E+00, 4.97752885E+00, 8.86529188E-01, 1.69574231E-02
4.97752885E+00, 4.99876181E+00, 8.87502613E-01, 1.67754389E-02
4.99876181E+00, 5.01999818E+00, 8.85772516E-01, 1.68896256E-02
5.01999818E+00, 5.04123344E+00, 8.86506046E-01, 1.64836216E-02
5.04123344E+00, 5.06247083E+00, 8.91685409E-01, 1.66948068E-02
5.06247083E+00, 5.08370584E+00, 8.88023882E-01, 1.66709122E-02
5.08370584E+00, 5.10494198E+00, 8.88380473E-01, 1.64591284E-02
5.10494198E+00, 5.12617477E+00, 8.89049758E-01, 1.63850751E-02
5.12617477E+00, 5.14740795E+00, 8.93935674E-01, 1.64222000E-02
5.14740795E+00, 5.16864553E+00, 8.91126820E-01, 1.62784360E-02
5.16864553E+00, 5.18987474E+00, 8.95033353E-01, 1.61068478E-02
5.18987474E+00, 5.21110820E+00, 8.92549982E-01, 1.61049655E-02
5.21110820E+00, 5.23234175E+00, 8.91880541E-01, 1.59867863E-02
5.23234175E+00, 5.25357995E+00, 8.92973781E-01, 1.59203523E-02
5.25357995E+00, 5.27481873E+00, 8.93785732E-01, 1.60694410E-02
5.27481873E+00, 5.29605388E+00, 8.93754842E-01, 1.57111889E-02
5.29605388E+00, 5.31728107E+00, 8.95244638E-01, 1.58542270E-02
5.31728107E+00, 5.33851447E+00, 8.92898261E-01, 1.57567368E-02
5.33851447E+00, 5.35975018E+00, 8.92978082E-01, 1.55470340E-02
5.35975018E+00, 5.38098419E+00, 8.93099191E-01, 1.56085996E-02
5.38098419E+00, 5.40222203E+00, 8.93538928E-01, 1.53952507E-02
5.40222203E+00, 5.42345981E+00, 8.94912722E-01, 1.54238228E-02
5.42345981E+00, 5.44469354E+00, 8.94824418E-01, 1.53815839E-02
5.44469354E+00, 5.46592908E+00, 8.94661102E-01, 1.52880141E-02
5.46592908E+00, 5.48716258E+00, 8.96564581E-01, 1.53377116E-02
5.48716258E+00, 5.50839007E+00, 8.98567508E-01, 1.52773080E-02
5.50839007E+00, 5.52962813E+00, 8.99011137E-01, 1.51918166E-02
5.52962813E+00, 5.55086285E+00, 8.99323393E-01, 1.50096565E-02
5.55086285E+00, 5.57210087E+00, 9.02245079E-01, 1.50616098E-02
5.57210087E+00, 5.59333853E+00, 8.98665073E-01, 1.50106149E-02
5.59333853E+00, 5.61457207E+00, 8.97530921E-01, 1.48510161E-02
5.61457207E+00, 5.63579761E+00, 8.95411175E-01, 1.47904283E-02
5.63579761E+00, 5.65703333E+00, 9.00351339E-01, 1.48731878E-02
5.65703333E+00, 5.67827592E+00, 8.98102348E-01, 1.48171906E-02
5.67827592E+00, 5.69951064E+00, 9.00277646E-01, 1.46582749E-02
5.69951064E+00, 5.72074506E+00, 9.00712711E-01, 1.45890469E-02
5.72074506E+00, 5.74197559E+00, 8.98619466E-01, 1.44633591E-02
5.74197559E+00, 5.76321024E+00, 9.00669495E-01, 1.45953892E-02
5.76321024E+00, 5.78444562E+00, 9.01290072E-01, 1.44327765E-02
5.78444562E+00, 5.80567825E+00, 9.06508141E-01, 1.43483259E-02
5.80567825E+00, 5.82691666E+00, 8.99295138E-01, 1.41961047E-02
5.82691666E+00, 5.84814535E+00, 9.00248571E-01, 1.42695515E-02
5.84814535E+00, 5.86938530E+00, 8.99923112E-01, 1.41812741E-02
5.86938530E+00, 5.89062099E+00, 9.00094409E-01, 1.41686031E-02
5.89062099E+00, 5.91184888E+00, 8.99109186E-01, 1.41416508E-02
5.91184888E+00, 5.93309091E+00, 9.04372409E-01, 1.40131322E-02
5.93309091E+00, 5.95431840E+00, 9.03386154E-01, 1.40433547E-02
5.95431840E+00, 5.97555366E+00, 8.99669572E-01, 1.40337913E-02
5.97555366E+00, 5.99679366E+00, 9.00693453E-01, 1.37497198E-02
5.99679366E+00, 6.01802198E+00, 9.05299388E-01, 1.39482657E-02
6.01802198E+00, 6.03926191E+00, 9.04142861E-01, 1.38774915E-02
6.03926191E+00, 6.06049704E+00, 9.01646665E-01, 1.37848328E-02
6.06049704E+00, 6.08172399E+00, 9.04976401E-01, 1.37198564E-02
6.08172399E+00, 6.10296715E+00, 9.02289477E-01, 1.38177830E-02
6.10296715E+00, 6.12419580E+00, 9.03381519E-01, 1.37020832E-02
6.12419580E+00, 6.14543474E+00, 9.04745882E-01, 1.35767835E-02
6.14543474E+00, 6.16666684E+00, 9.02263717E-01, 1.33906461E-02
6.16666684E+00, 6.18790330E+00, 9.08205579E-01, 1.36435383E-02
6.18790330E+00, 6.20914120E+00, 9.06466099E-01, 1.33750084E-02
6.20914120E+00, 6.23037754E+00, 9.08822898E-01, 1.33603457E-02
6.23037754E+00, 6.25160926E+00, 9.07201203E-01, 1.35079402E-02
6.25160926E+00, 6.27283322E+00, 9.05602052E-01, 1.34213424E-02
6.27283322E+00, 6.29407669E+00, 9.07784553E-01, 1.34855975E-02
6.29407669E+00, 6.31530653E+00, 9.03421913E-01, 1.31701922E-02
6.31530653E+00, 6.33655047E+00, 9.03490697E-01, 1.31995527E-02
6.33655047E+00, 6.35777463E+00, 9.02473040E-01, 1.31326222E-02
6.35777463E+00, 6.37900724E+00, 9.05664237E-01, 1.30918208E-02
6.37900724E+00, 6.40024568E+00, 9.05126884E-01, 1.31227754E-02
6.40024568E+00, 6.42148726E+00, 9.05821787E-01, 1.30892852E-02
6.42148726E+00, 6.44271290E+00, 9.05616245E-01, 1.29940079E-02
6.44271290E+00, 6.46395232E+00, 9.06551275E-01, 1.30340526E-02
6.46395232E+00, 6.48518646E+00, 9.05838138E-01, 1.29468017E-02
6.48518646E+00, 6.50641237E+00, 9.07864066E-01, 1.28730642E-02
6.50641237E+00, 6.52766106E+00, 9.06453127E-01, 1.26904681E-02
6.52766106E+00, 6.54889612E+00, 9.05232256E-01, 1.28162025E-02
6.54889612E+00, 6.57013174E+00, 9.07153550E-01, 1.27608243E-02
6.57013174E+00, 6.59136524E+00, 9.06480692E-01, 1.26063325E-02
6.59136524E+00, 6.61259387E+00, 9.07063349E-01, 1.27204238E-02
6.61259387E+00, 6.63383264E+00, 9.07252251E-01, 1.26166585E-02
6.63383264E+00, 6.65506119E+00, 9.04639439E-01, 1.25911520E-02
6.65506119E+00, 6.67629476E+00, 9.07146285E-01, 1.25597884E-02
6.67629476E+00, 6.69753089E+00, 9.12172281E-01, 1.25440540E-02
6.69753089E+00, 6.71876703E+00, 9.08111970E-01, 1.24347333E-02
6.71876703E+00, 6.74000059E+00, 9.06305918E-01, 1.23798061E-02
