wavelength (AA) lower bin boundary,  wavelength (AA) upper bin boundary,  Efficiency, rel. err.
4.06444304E+00, 4.08567776E+00, 1.83402846E-02, 7.64053665E-03
4.08567776E+00, 4.10691429E+00, 1.83985667E-02, 7.64098260E-03
4.10691429E+00, 4.12815002E+00, 1.84985644E-02, 7.64217972E-03
4.12815002E+00, 4.14938234E+00, 1.86131770E-02, 7.64091500E-03
4.14938234E+00, 4.17061751E+00, 1.86981954E-02, 7.63788038E-03
4.17061751E+00, 4.19185340E+00, 1.87826466E-02, 7.64417618E-03
4.19185340E+00, 4.21308787E+00, 1.88696068E-02, 7.64180179E-03
4.21308787E+00, 4.23431885E+00, 1.89594132E-02, 7.63319211E-03
4.23431885E+00, 4.25555371E+00, 1.90438127E-02, 7.63920114E-03
4.25555371E+00, 4.27679091E+00, 1.91508470E-02, 7.63743179E-03
4.27679091E+00, 4.29802408E+00, 1.92093454E-02, 7.63723066E-03
4.29802408E+00, 4.31926143E+00, 1.93176754E-02, 7.64129238E-03
4.31926143E+00, 4.34049182E+00, 1.94183119E-02, 7.64337856E-03
4.34049182E+00, 4.36172895E+00, 1.94701448E-02, 7.64198702E-03
4.36172895E+00, 4.38296180E+00, 1.95621960E-02, 7.64008204E-03
4.38296180E+00, 4.40419967E+00, 1.96583498E-02, 7.64075681E-03
4.40419967E+00, 4.42543141E+00, 1.97395746E-02, 7.63604171E-03
4.42543141E+00, 4.44666686E+00, 1.98296374E-02, 7.64411597E-03
4.44666686E+00, 4.46790021E+00, 1.99162749E-02, 7.63810444E-03
4.46790021E+00, 4.48913652E+00, 2.00111480E-02, 7.63857250E-03
4.48913652E+00, 4.51037005E+00, 2.00889673E-02, 7.63722865E-03
4.51037005E+00, 4.53160629E+00, 2.02189295E-02, 7.64003612E-03
4.53160629E+00, 4.55283959E+00, 2.02728525E-02, 7.63547106E-03
4.55283959E+00, 4.57407584E+00, 2.03176263E-02, 7.63879349E-03
4.57407584E+00, 4.59530953E+00, 2.04657820E-02, 7.63949281E-03
4.59530953E+00, 4.61654100E+00, 2.05424166E-02, 7.63703401E-03
4.61654100E+00, 4.63777680E+00, 2.05932969E-02, 7.63735673E-03
4.63777680E+00, 4.65901165E+00, 2.07134549E-02, 7.64448477E-03
4.65901165E+00, 4.68024635E+00, 2.08042633E-02, 7.64508422E-03
4.68024635E+00, 4.70148185E+00, 2.08757090E-02, 7.63884046E-03
4.70148185E+00, 4.72271286E+00, 2.09817035E-02, 7.63407098E-03
4.72271286E+00, 4.74395350E+00, 2.10404141E-02, 7.63547722E-03
4.74395350E+00, 4.76518570E+00, 2.11529450E-02, 7.63358129E-03
4.76518570E+00, 4.78641733E+00, 2.11940245E-02, 7.63825657E-03
4.78641733E+00, 4.80765681E+00, 2.12922031E-02, 7.64065910E-03
4.80765681E+00, 4.82888561E+00, 2.14020825E-02, 7.63566870E-03
4.82888561E+00, 4.85012614E+00, 2.14768197E-02, 7.63792091E-03
4.85012614E+00, 4.87135974E+00, 2.15861728E-02, 7.63873333E-03
4.87135974E+00, 4.89259547E+00, 2.16270552E-02, 7.63495232E-03
4.89259547E+00, 4.91382852E+00, 2.17433819E-02, 7.63925000E-03
4.91382852E+00, 4.93506125E+00, 2.18350143E-02, 7.63625128E-03
4.93506125E+00, 4.95629626E+00, 2.19279903E-02, 7.63421280E-03
4.95629626E+00, 4.97752885E+00, 2.19886635E-02, 7.63816027E-03
4.97752885E+00, 4.99876181E+00, 2.20955226E-02, 7.63737688E-03
4.99876181E+00, 5.01999818E+00, 2.21308796E-02, 7.63300984E-03
5.01999818E+00, 5.04123344E+00, 2.22555719E-02, 7.62733386E-03
5.04123344E+00, 5.06247083E+00, 2.23434464E-02, 7.63660265E-03
5.06247083E+00, 5.08370584E+00, 2.24235717E-02, 7.63739396E-03
5.08370584E+00, 5.10494198E+00, 2.25540986E-02, 7.63687638E-03
5.10494198E+00, 5.12617477E+00, 2.26052948E-02, 7.63832910E-03
5.12617477E+00, 5.14740795E+00, 2.26940368E-02, 7.64043965E-03
5.14740795E+00, 5.16864553E+00, 2.27585323E-02, 7.63522744E-03
5.16864553E+00, 5.18987474E+00, 2.28519408E-02, 7.63769393E-03
5.18987474E+00, 5.21110820E+00, 2.28976297E-02, 7.63892278E-03
5.21110820E+00, 5.23234175E+00, 2.30057975E-02, 7.63772177E-03
5.23234175E+00, 5.25357995E+00, 2.31003030E-02, 7.63688877E-03
5.25357995E+00, 5.27481873E+00, 2.31630682E-02, 7.63613832E-03
5.27481873E+00, 5.29605388E+00, 2.32726708E-02, 7.63680183E-03
5.29605388E+00, 5.31728107E+00, 2.33222433E-02, 7.63665401E-03
5.31728107E+00, 5.33851447E+00, 2.34086339E-02, 7.63692974E-03
5.33851447E+00, 5.35975018E+00, 2.35051229E-02, 7.63534901E-03
5.35975018E+00, 5.38098419E+00, 2.36032949E-02, 7.63760626E-03
5.38098419E+00, 5.40222203E+00, 2.36427822E-02, 7.63510091E-03
5.40222203E+00, 5.42345981E+00, 2.37610853E-02, 7.63539530E-03
5.42345981E+00, 5.44469354E+00, 2.38414622E-02, 7.63723938E-03
5.44469354E+00, 5.46592908E+00, 2.39423269E-02, 7.63410577E-03
5.46592908E+00, 5.48716258E+00, 2.39711628E-02, 7.63618972E-03
5.48716258E+00, 5.50839007E+00, 2.40821417E-02, 7.63598755E-03
5.50839007E+00, 5.52962813E+00, 2.41555831E-02, 7.63780570E-03
5.52962813E+00, 5.55086285E+00, 2.42695806E-02, 7.63598926E-03
5.55086285E+00, 5.57210087E+00, 2.43481214E-02, 7.63539184E-03
5.57210087E+00, 5.59333853E+00, 2.44422429E-02, 7.63518090E-03
5.59333853E+00, 5.61457207E+00, 2.45084478E-02, 7.63579030E-03
5.61457207E+00, 5.63579761E+00, 2.46046526E-02, 7.63480069E-03
5.63579761E+00, 5.65703333E+00, 2.46863218E-02, 7.63050296E-03
5.65703333E+00, 5.67827592E+00, 2.47314118E-02, 7.63533519E-03
5.67827592E+00, 5.69951064E+00, 2.48369679E-02, 7.63307584E-03
5.69951064E+00, 5.72074506E+00, 2.49192465E-02, 7.63451127E-03
5.72074506E+00, 5.74197559E+00, 2.49814470E-02, 7.63430003E-03
5.74197559E+00, 5.76321024E+00, 2.50660030E-02, 7.63243955E-03
5.76321024E+00, 5.78444562E+00, 2.51783509E-02, 7.63388916E-03
5.78444562E+00, 5.80567825E+00, 2.52437373E-02, 7.62596447E-03
5.80567825E+00, 5.82691666E+00, 2.53210151E-02, 7.63339943E-03
5.82691666E+00, 5.84814535E+00, 2.54257615E-02, 7.63379141E-03
5.84814535E+00, 5.86938530E+00, 2.54928754E-02, 7.62892471E-03
5.86938530E+00, 5.89062099E+00, 2.55760811E-02, 7.63435543E-03
5.89062099E+00, 5.91184888E+00, 2.56837928E-02, 7.63463896E-03
5.91184888E+00, 5.93309091E+00, 2.57502594E-02, 7.63466008E-03
5.93309091E+00, 5.95431840E+00, 2.58038193E-02, 7.63635346E-03
5.95431840E+00, 5.97555366E+00, 2.58892520E-02, 7.63320496E-03
5.97555366E+00, 5.99679366E+00, 2.59954825E-02, 7.63489003E-03
5.99679366E+00, 6.01802198E+00, 2.60578413E-02, 7.63559275E-03
6.01802198E+00, 6.03926191E+00, 2.61662029E-02, 7.63308071E-03
6.03926191E+00, 6.06049704E+00, 2.62491595E-02, 7.63537912E-03
6.06049704E+00, 6.08172399E+00, 2.63325895E-02, 7.63316407E-03
6.08172399E+00, 6.10296715E+00, 2.64022690E-02, 7.63252162E-03
6.10296715E+00, 6.12419580E+00, 2.64681652E-02, 7.63311105E-03
6.12419580E+00, 6.14543474E+00, 2.65402027E-02, 7.63273654E-03
6.14543474E+00, 6.16666684E+00, 2.66148967E-02, 7.63346027E-03
6.16666684E+00, 6.18790330E+00, 2.67129667E-02, 7.63309807E-03
6.18790330E+00, 6.20914120E+00, 2.68192722E-02, 7.63040328E-03
6.20914120E+00, 6.23037754E+00, 2.68829802E-02, 7.63419445E-03
6.23037754E+00, 6.25160926E+00, 2.69704983E-02, 7.63361382E-03
6.25160926E+00, 6.27283322E+00, 2.70595509E-02, 7.63442906E-03
6.27283322E+00, 6.29407669E+00, 2.71148351E-02, 7.63256047E-03
6.29407669E+00, 6.31530653E+00, 2.72131508E-02, 7.63160882E-03
6.31530653E+00, 6.33655047E+00, 2.72656434E-02, 7.63232397E-03
6.33655047E+00, 6.35777463E+00, 2.73750243E-02, 7.63427755E-03
6.35777463E+00, 6.37900724E+00, 2.74353034E-02, 7.63125200E-03
6.37900724E+00, 6.40024568E+00, 2.75197608E-02, 7.63457231E-03
6.40024568E+00, 6.42148726E+00, 2.75904741E-02, 7.63263886E-03
6.42148726E+00, 6.44271290E+00, 2.76810018E-02, 7.63259101E-03
6.44271290E+00, 6.46395232E+00, 2.77573881E-02, 7.63379103E-03
6.46395232E+00, 6.48518646E+00, 2.78583100E-02, 7.63264087E-03
6.48518646E+00, 6.50641237E+00, 2.78990630E-02, 7.63219680E-03
6.50641237E+00, 6.52766106E+00, 2.79933163E-02, 7.62992269E-03
6.52766106E+00, 6.54889612E+00, 2.81167848E-02, 7.63653333E-03
6.54889612E+00, 6.57013174E+00, 2.81875131E-02, 7.63297907E-03
6.57013174E+00, 6.59136524E+00, 2.82790201E-02, 7.77573270E-03
6.59136524E+00, 6.61259387E+00, 2.83541211E-02, 7.63349859E-03
6.61259387E+00, 6.63383264E+00, 2.84396228E-02, 7.77415189E-03
6.63383264E+00, 6.65506119E+00, 2.84773094E-02, 7.63295237E-03
6.65506119E+00, 6.67629476E+00, 2.85780798E-02, 7.63086862E-03
6.67629476E+00, 6.69753089E+00, 2.86710396E-02, 7.76999635E-03
6.69753089E+00, 6.71876703E+00, 2.87430339E-02, 7.63116353E-03
6.71876703E+00, 6.74000059E+00, 2.88019955E-02, 7.77530343E-03
6.74000059E+00, 6.76122893E+00, 2.88873293E-02, 7.63098945E-03
6.76122893E+00, 6.78246842E+00, 2.89267997E-02, 7.77463294E-03
