wl[Å],meas. Brilliance (no average),error (no smooth),rel. error (no smooth),meas. Brilliance (0.1Å average),error (5ch=0.1AA smooth),rel. error (5ch=0.1AA smooth)
3.0566083299,1.73E+011,2.99E+010,0.1734764567,211132970458.153,21373467980.3845,0.101232261
3.0780762447,2.07E+011,3.07E+010,0.1479758357,211882727685.775,21314175315.0492,0.1005942086
3.0995441595,2.19E+011,3.02E+010,0.1377287653,196338895071.491,21163912334.7457,0.1077927648
3.1210120743,2.22E+011,3.05E+010,0.1372917293,200238199096.207,21124142409.7557,0.1054950679
3.1424799891,1.60E+011,2.92E+010,0.1820268752,198034763439.3,21051270397.1556,0.1063008839
3.1639479039,1.92E+011,2.98E+010,0.1549451147,194428844145.425,20971674581.2124,0.1078629803
3.1854158187,1.96E+011,2.99E+010,0.1525575434,189454532630.118,20885381535.4059,0.1102395453
3.2068837336,2.01E+011,2.99E+010,0.1485147622,190162212922.422,20831432397.7795,0.1095455931
3.2283516484,1.97E+011,2.86E+010,0.144897282,191015087218.151,20779733394.9892,0.1087858226
3.2498195632,1.64E+011,2.92E+010,0.1782118856,195958549148.011,20752191630.2067,0.1059009251
3.271287478,1.96E+011,2.92E+010,0.1486177858,190435329746.863,20666221985.1127,0.1085209452
3.2927553928,2.21E+011,2.92E+010,0.1322637316,178373197597.788,20543970202.3016,0.1151740871
3.3142233076,1.74E+011,2.91E+010,0.1672795751,180667312213.181,20503841184.7136,0.1134894903
3.3356912224,1.37E+011,2.83E+010,0.2066367055,172960894246.66,20408127009.8151,0.1179927237
3.3571591372,1.75E+011,2.89E+010,0.1650758913,160720759477.804,20287758607.0084,0.1262298578
3.378627052,1.58E+011,2.93E+010,0.1858353976,165229945354.698,20263244957.9133,0.1226366378
3.4000949668,1.60E+011,2.83E+010,0.1774479534,168255300276.214,20230468241.0424,0.1202367367
3.4215628816,1.96E+011,2.75E+010,0.1402312914,171186433002.248,20198401499.5287,0.1179906675
3.4430307964,1.52E+011,2.82E+010,0.1855217817,175715342778.441,20175889529.9585,0.1148214448
3.4644987112,1.90E+011,2.78E+010,0.1466187545,179344749348.617,20148954945.486,0.1123476155
3.485966626,1.80E+011,2.78E+010,0.1540892291,176899259291.626,20088719866.6419,0.113560226
3.5074345408,1.78E+011,2.85E+010,0.1601461725,183856154452.711,20081981758.5286,0.1092265952
3.5289024556,1.84E+011,2.75E+010,0.1496014535,182107967225.741,20027016123.2434,0.109973311
3.5503703704,1.87E+011,2.82E+010,0.1509948354,183252513198.2,19989036132.8337,0.1090791923
3.5718382852,1.81E+011,2.80E+010,0.1546026902,181107416737.926,19933078592.1276,0.1100621882
3.5933062,1.86E+011,2.79E+010,0.1497749675,173912410402.449,19849280052.5309,0.1141337758
3.6147741148,1.67E+011,2.80E+010,0.167291678,163446915905.928,19747613490.2821,0.1208197376
3.6362420296,1.48E+011,2.80E+010,0.188771434,148213492872.699,19619292879.0375,0.1323718408
3.6577099444,1.35E+011,2.78E+010,0.20634427,146521436455.439,19569003815.3626,0.1335572752
3.6791778592,1.05E+011,2.78E+010,0.2653555324,145746150474.111,19524370581.1622,0.1339614838
3.700645774,1.78E+011,2.74E+010,0.1542102286,144797149528.671,19479150235.667,0.1345271664
3.7221136888,1.63E+011,2.70E+010,0.1652462388,147997884221.856,19458082947.7589,0.131475413
3.7435816036,1.43E+011,2.67E+010,0.1858787368,152551620368.478,19444928001.1869,0.1274645786
3.7650495184,1.51E+011,2.60E+010,0.1724377898,149401497550.015,19389208253.5214,0.1297792095
3.7865174332,1.28E+011,2.74E+010,0.2147756843,146073187390.07,19332910173.5597,0.1323508477
3.807985348,1.62E+011,2.71E+010,0.1672127331,144297627102.216,19285847439.1688,0.1336532542
3.8294532628,1.47E+011,2.66E+010,0.1817033799,141011673725.535,19230811854.6265,0.1363774455
3.8509211776,1.35E+011,2.67E+010,0.1988124849,131561117108.146,19140843323.2056,0.1454901246
3.8723890924,1.34E+011,2.62E+010,0.195335158,126774905112.272,19078487453.0352,0.1504910411
